Time,s,t,t_ref,e_t,devang,psi_ref,e_psi,yawrate,v,delta_cmd_logged,applied_delta_cmd,applied_delta_rate,steer_manual
0,8.39999698399995,0,4.72016185363139e-06,-4.72016185363139e-06,0,2.23416278708452e-05,-2.23416278708452e-05,0,0,7.53548073559611e-06,7.53548073559611e-06,0.000150067800866287,0
0.001,8.39999698399995,-1.21215863931901e-11,4.72016185363139e-06,-4.72017397521778e-06,0,2.23416278708452e-05,-2.23416278708452e-05,1.73535133631651e-11,7.90215989022847e-08,7.6855485364624e-06,7.6855485364624e-06,0.000150067800866287,0
0.002,8.39999698399995,-5.87160831364966e-11,4.72016185363139e-06,-4.72022056971452e-06,1.73535133631651e-14,2.23416278708452e-05,-2.23416278534917e-05,2.81431383856739e-09,1.48572108664501e-07,7.83561633732868e-06,7.83561633732868e-06,0.000150067800866286,-3.3401418529118e-19
0.003,8.39999698399995,-1.3862527560504e-10,4.72016185363139e-06,-4.72030047890699e-06,2.83166735193055e-12,2.23416278708452e-05,-2.23416250391779e-05,1.13994770872692e-08,2.02287452901006e-07,7.98568413819497e-06,7.98568413819497e-06,0.000150067800866287,-3.01085334462745e-18
0.004,8.39999698399995,-2.40271573510853e-10,4.72016185363139e-06,-4.7204021252049e-06,1.42311444391997e-11,2.23416278708452e-05,-2.23416136397008e-05,1.88945210190012e-08,2.36715941960071e-07,8.13575193906125e-06,8.13575193906125e-06,0.000150067800866286,-1.05365437694872e-17
0.005,8.39999698399995,-3.74013885547868e-10,4.72016185363139e-06,-4.72053586751694e-06,3.31256654582009e-11,2.23416278708452e-05,-2.23415947451798e-05,2.55399635740068e-08,2.51996786210466e-07,8.28581973992754e-06,8.28581973992754e-06,0.000150067800866287,-2.50018295602978e-17
0.006,8.39999698399995,-5.47599652929755e-10,4.72016185363139e-06,-4.72070945328432e-06,5.86656290322078e-11,2.23416278708452e-05,-2.23415692052162e-05,3.12592105773331e-08,2.51195921969897e-07,8.43588754079383e-06,8.43588754079383e-06,0.000150067800866287,-4.76006664501997e-17
0.007,8.39999698399995,-7.65940026944419e-10,4.72016185363139e-06,-4.72092779365833e-06,8.99248396095408e-11,2.23416278708452e-05,-2.23415379460056e-05,3.56357244334818e-08,2.39392891433319e-07,8.58595534166011e-06,8.58595534166011e-06,0.000150067800866286,-7.83890473332151e-17
0.008,8.39999698399995,-1.02200237140265e-09,4.72016185363139e-06,-4.72118385600279e-06,1.25560564043023e-10,2.23416278708452e-05,-2.23415023102812e-05,3.57819850202001e-08,2.23127550279904e-07,8.7360231425264e-06,8.7360231425264e-06,0.000150067800866287,-1.15516275259384e-16
0.009,8.39999698399995,-1.35745046563848e-09,4.72016185363139e-06,-4.72151930409703e-06,1.61342549063223e-10,2.23416278708452e-05,-2.23414665282962e-05,4.15319339831979e-08,2.06830340054756e-07,8.88609094339269e-06,8.88609094339269e-06,0.000150067800866286,-1.58519477474259e-16
