roadLayer,markerIndex,pylonSide,type,sRoad,x,y,gateCenterY,gateWidth,isGateCenter,isSlalomSideGate,rawParam
1,0,lower,DrvPylon,290.0,290.0,-1.5,0.0,3.0,False,False,290 0 0 100 1 3
1,0,upper,DrvPylon,290.0,290.0,1.5,0.0,3.0,False,False,290 0 0 100 1 3
1,1,lower,DrvPylon,295.0,295.0,-1.5,0.0,3.0,False,False,295 0 0 100 1 3
1,1,upper,DrvPylon,295.0,295.0,1.5,0.0,3.0,False,False,295 0 0 100 1 3
1,2,lower,DrvPylon,300.0,300.0,-1.5,0.0,3.0,False,False,300 0 0 100 1 3
1,2,upper,DrvPylon,300.0,300.0,1.5,0.0,3.0,False,False,300 0 0 100 1 3
1,3,lower,DrvPylon,309.0,309.0,-4.5,0.0,9.0,False,False,309 0 0 100 1 9
1,3,upper,DrvPylon,309.0,309.0,4.5,0.0,9.0,False,False,309 0 0 100 1 9
1,5,lower,DrvPylon,318.0,318.0,0.25,2.625,4.75,False,True,318 0 2.625 100 1 4.75
1,5,upper,DrvPylon,318.0,318.0,5.0,2.625,4.75,False,True,318 0 2.625 100 1 4.75
1,6,lower,DrvPylon,327.0,327.0,-4.5,0.0,9.0,False,False,327 0 0 100 1 9
1,6,upper,DrvPylon,327.0,327.0,4.5,0.0,9.0,False,False,327 0 0 100 1 9
1,7,lower,DrvPylon,336.0,336.0,-5.0,-2.625,4.75,False,True,336 0 -2.625 100 1 4.75
1,7,upper,DrvPylon,336.0,336.0,-0.25,-2.625,4.75,False,True,336 0 -2.625 100 1 4.75
1,8,lower,DrvPylon,345.0,345.0,-4.5,0.0,9.0,False,False,345 0 0 100 1 9
1,8,upper,DrvPylon,345.0,345.0,4.5,0.0,9.0,False,False,345 0 0 100 1 9
1,9,lower,DrvPylon,354.0,354.0,0.25,2.625,4.75,False,True,354 0 2.625 100 1 4.75
1,9,upper,DrvPylon,354.0,354.0,5.0,2.625,4.75,False,True,354 0 2.625 100 1 4.75
1,10,lower,DrvPylon,363.0,363.0,-4.5,0.0,9.0,False,False,363 0 0 100 1 9
1,10,upper,DrvPylon,363.0,363.0,4.5,0.0,9.0,False,False,363 0 0 100 1 9
1,11,lower,DrvPylon,372.0,372.0,-5.0,-2.625,4.75,False,True,372 0 -2.625 100 1 4.75
1,11,upper,DrvPylon,372.0,372.0,-0.25,-2.625,4.75,False,True,372 0 -2.625 100 1 4.75
1,12,lower,DrvPylon,381.0,381.0,-4.5,0.0,9.0,False,False,381 0 0 100 1 9
1,12,upper,DrvPylon,381.0,381.0,4.5,0.0,9.0,False,False,381 0 0 100 1 9
1,13,lower,DrvPylon,390.0,390.0,0.25,2.625,4.75,False,True,390 0 2.625 100 1 4.75
1,13,upper,DrvPylon,390.0,390.0,5.0,2.625,4.75,False,True,390 0 2.625 100 1 4.75
1,14,lower,DrvPylon,399.0,399.0,-4.5,0.0,9.0,False,False,399 0 0 100 1 9
1,14,upper,DrvPylon,399.0,399.0,4.5,0.0,9.0,False,False,399 0 0 100 1 9
1,15,lower,DrvPylon,408.0,408.0,-5.0,-2.625,4.75,False,True,408 0 -2.625 100 1 4.75
1,15,upper,DrvPylon,408.0,408.0,-0.25,-2.625,4.75,False,True,408 0 -2.625 100 1 4.75
1,16,lower,DrvPylon,417.0,417.0,-4.5,0.0,9.0,False,False,417 0 0 100 1 9
