Time,Vhcl.sRoad,Vhcl.tRoad,Vhcl.YawRate,Car.Road.Path.DevAng,Car.Road.Path.DevDist,Car.Road.Route.DevAng,Car.Road.Route.DevDist,Car.tx,Car.ty,Car.v,Car.YawRate,Car.SideSlipAngle,Car.ax,Car.ay,DM.Steer.Ang,DM.Steer.AngVel,DM.Steer.AngAcc,Steer.WhlAng,Driver.Lat.dy,DM.Brake,DM.Gas,Car.muRoadFL,Car.muRoadFR,Car.muRoadRL,Car.muRoadRR
0.0,8.399996983999952,-1.2396972337569423e-11,1.682833039584608e-11,0.0,-1.2396972337569423e-11,0.0,-1.2396972337569423e-11,7.408852577209473,0.019406098872423172,0.0,1.682833039584608e-11,0.0,7.643018034286797e-05,-1.2088652511010878e-05,0.0,0.0,0.0,0.0,0.001293887384235859,0.0,0.0,1.0,1.0,1.0,1.0
0.1,8.39999688203928,-1.1646935860198937e-07,-2.8439756079023937e-06,-1.090135057779662e-07,-1.1646935860198937e-07,-1.090135057779662e-07,-1.1646935860198937e-07,7.408852577209473,0.019406309351325035,9.5015011538635e-06,-2.8439756079023937e-06,0.0,3.962702066928614e-06,2.76991595455911e-05,2.5484736188214653e-14,4.687565982076924e-13,-1.693814793285453e-12,2.5484736188214653e-14,0.0012941118329763412,1.0789204196726132e-08,0.0,1.0,1.0,1.0,1.0
0.2,8.399996379951506,-3.2582235576228413e-07,-4.141901172260987e-06,-4.792873937731201e-07,-3.2582235576228413e-07,-4.792873937731201e-07,-3.2582235576228413e-07,7.408852577209473,0.019406838342547417,1.2931272067362443e-05,-4.141901172260987e-06,0.0,-5.495634809449257e-07,-9.652016160544008e-06,5.999224690156693e-14,2.1607565183715677e-13,-2.3624600539728924e-12,5.999224690156693e-14,0.0012947256909683347,0.0,0.0,1.0,1.0,1.0,1.0
0.3,8.399996811772365,-5.003817591386905e-07,-2.7970354494755156e-06,-8.778009146226395e-07,-5.003817591386905e-07,-8.778009146226395e-07,-5.003817591386905e-07,7.408852577209473,0.019407298415899277,8.066273949225433e-06,-2.7970354494755156e-06,0.0,-6.863967428216711e-05,-9.146077354671434e-05,7.076356509224876e-14,1.185651647391331e-13,-2.1342864975348874e-11,7.076356509224876e-14,0.001295285765081644,0.0,0.02393207512795925,1.0,1.0,1.0,1.0
0.4,8.400004203843919,-2.246619459356225e-07,2.3494061807127764e-08,-1.0291548733221134e-06,-2.246619459356225e-07,-1.0291548733221134e-06,-2.246619459356225e-07,7.408851623535156,0.01940767839550972,2.196025161538273e-05,2.3494061807127764e-08,0.0,-0.00013699469855055213,-8.614239959570114e-06,8.051559093925909e-14,2.3760187610813444e-13,1.9623035835136804e-12,8.051559093925909e-14,0.0012957106810063124,0.0,0.06787516176700592,1.0,1.0,1.0,1.0
0.5,8.400021354561908,2.0876483119991462e-07,2.0831628262385493e-06,-9.237834888153884e-07,2.0876483119991462e-07,-9.237834888153884e-07,2.0876483119991462e-07,7.408849716186523,0.019407982006669044,6.867152114864439e-05,2.0831628262385493e-06,0.0,-0.00016394125123042613,-1.7050562746590003e-05,1.1249286685542995e-13,4.2486259193945386e-13,3.7608974094716086e-12,1.1249286685542995e-13,0.0012959896121174097,0.0,0.11369038373231888,1.0,1.0,1.0,1.0
0.6,8.400045055175214,5.701712098016287e-07,4.32479919254547e-06,-5.497039978763496e-07,5.701712098016287e-07,-5.497039978763496e-07,5.701712098016287e-07,7.408845901489258,0.019408132880926132,0.00012377550592646003,4.32479919254547e-06,0.0,-0.00014466849097516388,-6.209525508893421e-06,1.6817687379429985e-13,3.6628800036478393e-13,1.4178851235474577e-12,1.6817687379429985e-13,0.001296031172387302,0.0,0.15427622199058533,1.0,1.0,1.0,1.0
0.7000000000000001,8.400069184468146,9.579233619660954e-07,3.562754045560723e-06,-1.527447750504507e-07,9.579233619660954e-07,-1.527447750504507e-07,9.579233619660954e-07,7.408841133117676,0.0194082148373127,0.0001614502107258886,3.562754045560723e-06,0.0,-5.564780076383613e-05,-3.4993938697880367e-06,1.9141943076190354e-13,1.3531485502406293e-13,-1.4112625998374817e-12,1.9141943076190354e-13,0.001296000904403627,0.0,0.18602354824543,1.0,1.0,1.0,1.0
0.8,8.40008827070714,1.2759269338857848e-06,2.8238412141945446e-06,1.6578536587985582e-07,1.2759269338857848e-06,1.6578536587985582e-07,1.2759269338857848e-06,7.408835411071777,0.019408268854022026,0.0001648078759899363,2.8238412141945446e-06,0.0,2.3403834347845986e-05,-1.2459310028134496e-06,1.996901179569105e-13,4.517442192888965e-14,-5.353562645277199e-13,1.996901179569105e-13,0.0012959635350853205,0.0,0.20716644823551178,1.0,1.0,1.0,1.0
0.9,8.400099888810251,1.54113013195456e-06,2.1834889594174456e-06,4.1335886180604575e-07,1.54113013195456e-06,4.1335886180604575e-07,1.54113013195456e-06,7.408830165863037,0.01940830796957016,0.0001358811859972775,2.1834889594174456e-06,0.0,7.065878889989108e-05,3.190593997715041e-05,2.0223263981402478e-13,1.6410646713066468e-14,-6.332652501342406e-13,2.0223263981402478e-13,0.0012959338491782546,0.0,0.2168833315372467,1.0,1.0,1.0,1.0
