s_ref,t_ref,psi_ref,delta_ff
0.000000,-0.000000339,-0.000000487,0.000000000
0.500000,-0.000000339,-0.000000487,0.000000000
1.000000,-0.000000339,-0.000000487,0.000000000
1.500000,-0.000000339,-0.000000487,0.000000000
2.000000,-0.000000339,-0.000000487,0.000000000
2.500000,-0.000000339,-0.000000487,0.000000000
3.000000,-0.000000339,-0.000000487,0.000000000
3.500000,-0.000000339,-0.000000487,0.000000000
4.000000,-0.000000339,-0.000000487,0.000000000
4.500000,-0.000000339,-0.000000487,0.000000000
5.000000,-0.000000339,-0.000000487,0.000000000
5.500000,-0.000000339,-0.000000487,0.000000000
6.000000,-0.000000339,-0.000000487,0.000000000
6.500000,-0.000000339,-0.000000487,0.000000000
7.000000,-0.000000339,-0.000000487,0.000000000
7.500000,-0.000000339,-0.000000487,0.000000000
8.000000,-0.000000339,-0.000000487,0.000000000
8.500000,0.000005985,0.000028049,-0.000018507
9.000000,0.000046653,0.000083403,-0.001286109
9.500000,0.000039937,0.000110909,-0.003748300
10.000000,-0.000022200,0.000113575,-0.004800494
10.500000,-0.000091260,0.000113176,-0.004320927
11.000000,-0.000153194,0.000114948,-0.004127652
11.500000,-0.000209013,0.000117295,-0.003966021
12.000000,-0.000259517,0.000120727,-0.003833749
12.500000,-0.000302261,0.000127463,-0.003869077
13.000000,-0.000342296,0.000134425,-0.003847370
13.500000,-0.000381094,0.000141488,-0.003799640
14.000000,-0.000410005,0.000150637,-0.003847020
14.500000,-0.000438183,0.000159630,-0.003893116
15.000000,-0.000462374,0.000167649,-0.003928815
15.500000,-0.000485789,0.000175557,-0.003963109
16.000000,-0.000504347,0.000182773,-0.003988607
16.500000,-0.000522905,0.000189988,-0.004014105
17.000000,-0.000536268,0.000196382,-0.004038675
17.500000,-0.000549468,0.000202750,-0.004063215
18.000000,-0.000559439,0.000208582,-0.004085214
18.500000,-0.000567603,0.000214115,-0.004105790
19.000000,-0.000575055,0.000219536,-0.004126361
19.500000,-0.000578544,0.000224341,-0.004146906
20.000000,-0.000582033,0.000229145,-0.004167451
20.500000,-0.000583418,0.000233627,-0.004187376
21.000000,-0.000582724,0.000237789,-0.004206689
21.500000,-0.000582029,0.000241951,-0.004226003
22.000000,-0.000578787,0.000245629,-0.004242267
22.500000,-0.000574414,0.000249091,-0.004257175
23.000000,-0.000570040,0.000252553,-0.004272083
23.500000,-0.000563356,0.000255547,-0.004285030
24.000000,-0.000555775,0.000258360,-0.004297215
24.500000,-0.000548193,0.000261172,-0.004309400
25.000000,-0.000539036,0.000263641,-0.004320225
25.500000,-0.000528769,0.000265869,-0.004330092
26.000000,-0.000518503,0.000268096,-0.004339959
26.500000,-0.000507572,0.000270182,-0.004348816
27.000000,-0.000495030,0.000271925,-0.004355224
27.500000,-0.000482488,0.000273668,-0.004361632
28.000000,-0.000469947,0.000275411,-0.004368040
28.500000,-0.000455852,0.000276753,-0.004371603
29.000000,-0.000441451,0.000278016,-0.004374605
29.500000,-0.000427050,0.000279279,-0.004377608
30.000000,-0.000412326,0.000280466,-0.004380503
30.500000,-0.000396446,0.000281381,-0.004383011
31.000000,-0.000380567,0.000282297,-0.004385519
31.500000,-0.000364687,0.000283212,-0.004388027
32.000000,-0.000348300,0.000283985,-0.004388428
32.500000,-0.000331267,0.000284578,-0.004386151
33.000000,-0.000314234,0.000285170,-0.004383874
33.500000,-0.000297201,0.000285763,-0.004381597
34.000000,-0.000279748,0.000286151,-0.004377868
34.500000,-0.000261879,0.000286337,-0.004372700
35.000000,-0.000244010,0.000286523,-0.004367532
35.500000,-0.000226141,0.000286708,-0.004362364
36.000000,-0.000208040,0.000286848,-0.004358239
36.500000,-0.000189601,0.000286920,-0.004355647
37.000000,-0.000171161,0.000286991,-0.004353054
37.500000,-0.000152721,0.000287063,-0.004350462
38.000000,-0.000133874,0.000284319,-0.004292169
